description,city,prediction
"Software Engineer with Python, SQL and Machine Learning skills in Bangalore
",Bangalore,High
"Software Engineer with Python, SQL and Machine Learning skills in Bangalore
",Bangalore,High
"Looking for Software Engineer role in Bangalore with Python and Flask
",Bangalore,High
Software Engineer job in pune,Pune,High
"a data analyst role in chennai
",Chennai,Low
"data analyst job in tirupati
",Other,Low
data analyst in chennai,Chennai,Low
"data analyst in chennai
",Chennai,Low
web developer in chennai,Chennai,Low
"software engineer in bangalore with python, ai&ml
",Bangalore,High
"data analyst in pune with python, power bi, excel",Pune,Medium
"data analyst in bangalore with 2 years experience and knowledge gained in excel,power bi,python",Bangalore,Medium
"software job in chennai with python, power bi,excel",Chennai,Medium
software engineer in banglore with python and having 5 years experience,Other,Medium
"software engineer in bangalore with 4 years experience and gained skills in python,java",Bangalore,High
asjfjdfjkf,Other,Low
"softwaer
",Other,Low
software in chennai,Chennai,Medium
"software engineer in chennai with 2 years experience skilled in python ,excel ,java",Chennai,Medium
"data analyst with 2 years experience in chennai skilled with python,java ",Chennai,Low
"data analyst with 2 years expirence in hyderabad skilled in python, excel, power bi
",Hyderabad,Medium
"Senoir Software engineer (Data Visualization analyst), 10 + yrs of exp",Other,Medium
"Data Analyst, Mid level Experience",Other,Low
Data Analyst with 5-6 Yrs of experience,Other,Low
Software Engineer in Hyderabad with 5 yrs of experience,Hyderabad,High
Data Analyst,Other,Low
"Software Engineer | Python, ML | Bangalore | 2–5 years",Bangalore,High
"Software Engineer | Python, ML | Bangalore | 2–5 years",Bangalore,High
Data Scientist jobs in Bangalore,Bangalore,High
Data Scientist jobs in Bangalore,Bangalore,High
data analyst,Other,Low
data analyst,Other,Low
data analyst,Other,Low
devops developer,Other,Medium
"Looking for a Data Scientist with Python, Machine Learning, SQL,
2+ years experience in Bangalore.
",Bangalore,High
"Looking for a Mechanical Engineer with AutoCAD,
manufacturing experience preferred.
",Other,Medium
"Hiring a Data Scientist with Python, Machine Learning, SQL, and 2+ years experience in Bangalore.",Bangalore,High
"Looking for a Software Engineer skilled in Java, Spring Boot, REST APIs, and cloud deployment.",Other,Medium
"Hiring a Data Scientist with Python, Machine Learning, SQL, and 2+ years experience in Bangalore.",Bangalore,High
"looking for a data analyst with 2+ Years exp in bangalore
",Bangalore,Medium
"Need a Data Analyst with Excel, SQL, Power BI, and business reporting experience.",Other,Low
"Hiring a Data Scientist with Python, Machine Learning, SQL, and 2+ years experience in Bangalore.",Bangalore,High
"Hiring a Data Scientist with Python, Machine Learning, SQL, and 2+ years experience in Bangalore.",Bangalore,High
"Looking for a Software Engineer skilled in Java, Spring Boot, REST APIs, and cloud deployment.",Other,Medium
"Hiring a Data Scientist with Python, Machine Learning, SQL, and 2+ years experience in Bangalore.",Bangalore,High
"Looking for a Software Engineer skilled in Java, Spring Boot, REST APIs, and cloud deployment.",Other,Medium
"Hiring a Data Scientist with Python, Machine Learning, SQL, and 2+ years experience in Bangalore.",Bangalore,High
"Hiring a Data Scientist with Python, Machine Learning, SQL, and 2+ years experience in Bangalore.",Bangalore,High
"Hiring a Data Scientist with Python, Machine Learning, SQL, and 2+ years experience in Bangalore.",Bangalore,High
"Looking for a Software Engineer skilled in Java, Spring Boot, REST APIs, and cloud deployment.",Other,Medium
"Hiring a Data Scientist with Python, Machine Learning, SQL, and 2+ years experience in Bangalore.",Bangalore,High
"Looking for a Software Engineer skilled in Java, Spring Boot, REST APIs, and cloud deployment.",Other,Medium
"Hiring a Data Scientist with Python, Machine Learning, SQL, and 2+ years experience in Bangalore.",Bangalore,High
"Looking for a Software Engineer skilled in Java, Spring Boot, REST APIs.",Other,Medium
"Hiring a Data Scientist with Python, Machine Learning, SQL, and 2+ years experience in Bangalore.",Bangalore,High
"Looking for a Data Scientist with Python, ML, and SQL skills in Bangalore
",Bangalore,High
"Looking for a Data Scientist with Python, ML, and SQL skills in Bangalore
",Bangalore,High
"Looking for a Data Scientist with Python, ML, and SQL skills in Bangalore

",Bangalore,High
